1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
2,P80001571,Alabama,AL,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"1,318,255",,62.08%,W
3,P00003392,Alabama,AL,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"729,547",,34.36%,
4,P20002671,Alabama,AL,08/11/2016,Gary,Johnson,"Johnson, Gary",,IND,"44,467",,2.09%,
5,n/a,Alabama,AL,08/11/2016,,Scattered,"Scattered, ",,W,"21,712",,1.02%,
6,P20003984,Alabama,AL,08/11/2016,Jill,Stein,"Stein, Jill",,IND,"9,391",,0.44%,
7,n/a,Alabama,AL,08/11/2016,,,,Total State Votes:,,,"2,123,372",,
8,n/a,Alabama,AL,08/11/2016,,,,,,,,,
9,P80001571,Alaska,AK,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"163,387",,51.28%,W
10,P00003392,Alaska,AK,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"116,454",,36.55%,
11,P20002671,Alaska,AK,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"18,725",,5.88%,
12,n/a,Alaska,AK,08/11/2016,,Scattered,Scattered,,W,"9,201",,2.89%,
13,P20003984,Alaska,AK,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"5,735",,1.80%,
14,P60021102,Alaska,AK,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,CON,"3,866",,1.21%,
15,P60016342,Alaska,AK,08/11/2016,Roque,De La Fuente,"De La Fuente, Roque",,NAF,"1,240",,0.39%,
16,n/a,Alaska,AK,08/11/2016,,,,Total State Votes:,,,"318,608",,
17,n/a,Alaska,AK,08/11/2016,,,,,,,,,
18,P80001571,Arizona,AZ,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"1,252,401",,48.67%,W
19,P00003392,Arizona,AZ,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"1,161,167",,45.13%,
20,P20002671,Arizona,AZ,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"106,327",,4.13%,
21,P20003984,Arizona,AZ,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"34,345",,1.33%,
22,P60022654,Arizona,AZ,08/11/2016,Evan,McMullin,"McMullin, Evan",,W,"17,449",,0.68%,
23,P60021102,Arizona,AZ,08/11/2016,Darrell ,Castle,"Castle, Darrell ",,W,"1,058",,0.04%,
24,P20005260,Arizona,AZ,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,W,85,,0.00%,
25,P60016623,Arizona,AZ,08/11/2016,Mike,Smith,"Smith, Mike",,W,62,,0.00%,
26,P60020757,Arizona,AZ,08/11/2016,Robert L.,Buchanan,"Buchanan, Robert L.",,W,56,,0.00%,
27,P20004511,Arizona,AZ,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,52,,0.00%,
28,P80000268,Arizona,AZ,08/11/2016,Willie Felix,Carter,"Carter, Willie Felix",,DEM,42,,0.00%,
29,P60016342,Arizona,AZ,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,W,29,,0.00%,
30,P60023322,Arizona,AZ,08/11/2016,Mitchell,In-Albon,"In-Albon, Mitchell",,W,24,,0.00%,
31,P60018249,Arizona,AZ,08/11/2016,Joseph,Maldonado,"Maldonado, Joseph",,W,20,,0.00%,
32,P60005303,Arizona,AZ,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,14,,0.00%,
33,P20002630,Arizona,AZ,08/11/2016,"Sheila ""Samm""",Tittle,"Tittle, Sheila ""Samm""",,W,12,,0.00%,
34,n/a,Arizona,AZ,08/11/2016,Ben,Hartnell,"Hartnell, Ben",,W,11,,0.00%,
35,n/a,Arizona,AZ,08/11/2016,Marshall,Schoenke,"Schoenke, Marshall",,W,4,,0.00%,
36,P60021631,Arizona,AZ,08/11/2016,Delano,Steinacker,"Steinacker, Delano",,W,4,,0.00%,
37,n/a,Arizona,AZ,08/11/2016,Michael,Corsetti,"Corsetti, Michael",,W,3,,0.00%,
38,n/a,Arizona,AZ,08/11/2016,,,,Total State Votes:,,,"2,573,165",,
39,n/a,Arizona,AZ,08/11/2016,,,,,,,,,
40,P80001571,Arkansas,AR,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"684,872",,60.57%,W
41,P00003392,Arkansas,AR,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"380,494",,33.65%,
42,P20002671,Arkansas,AR,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"29,949",,2.65%,
43,P60022654,Arkansas,AR,08/11/2016,Evan ,McMullin,"McMullin, Evan ",,BFA,"13,176",,1.17%,
44,P20003984,Arkansas,AR,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"9,473",,0.84%,
45,P60017340,Arkansas,AR,08/11/2016,Jim,Hedges,"Hedges, Jim",,IND,"4,709",,0.42%,
46,P60021102,Arkansas,AR,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,CON,"4,613",,0.41%,
47,P60005808,Arkansas,AR,08/11/2016,Lynn S.,Kahn,"Kahn, Lynn S.",,IND,"3,390",,0.30%,
48,n/a,Arkansas,AR,08/11/2016,,,,Total State Votes:,,,"1,130,676",,
49,n/a,Arkansas,AR,08/11/2016,,,,,,,,,
50,P00003392,California,CA,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"8,753,792",,61.73%,W
51,P80001571,California,CA,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP/AIP,"4,483,814",,31.62%,
52,P20002671,California,CA,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"478,500",,3.37%,
53,P20003984,California,CA,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"278,658",,1.96%,
54,P60007168,California,CA,08/11/2016,"Bernard ""Bernie""",Sanders,"Sanders, Bernard ""Bernie""",,W,"79,341",,0.56%,
55,P80005572,California,CA,08/11/2016,Gloria Estela,La Riva,"La Riva, Gloria Estela",,PAF,"66,101",,0.47%,
56,P60022654,California,CA,08/11/2016,Evan ,McMullin,"McMullin, Evan ",,W,"39,596",,0.28%,
57,P60022787,California,CA,08/11/2016,Mike,Maturen,"Maturen, Mike",,W,"1,316",,0.01%,
58,P20004511,California,CA,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,402,,0.00%,
59,P20004677,California,CA,08/11/2016,Jerry,White,"White, Jerry",,W,84,,0.00%,
60,n/a,California,CA,08/11/2016,,,,Total State Votes:,,,"14,181,604",,
61,n/a,California,CA,08/11/2016,,,,,,,,,
62,P00003392,Colorado,CO,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"1,338,870",,48.16%,W
63,P80001571,Colorado,CO,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"1,202,484",,43.25%,
64,P20002671,Colorado,CO,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"144,121",,5.18%,
65,P20003984,Colorado,CO,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"38,437",,1.38%,
66,P60022654,Colorado,CO,08/11/2016,Evan,McMullin,"McMullin, Evan",,UN,"28,917",,1.04%,
67,P60021102,Colorado,CO,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,AMC,"11,699",,0.42%,
68,P60009917,Colorado,CO,08/11/2016,Chris,Keniston,"Keniston, Chris",,VPA,"5,028",,0.18%,
69,P60016623,Colorado,CO,08/11/2016,Mike,Smith,"Smith, Mike",,UN,"1,819",,0.07%,
70,P60016342,Colorado,CO,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,W,"1,255",,0.05%,
71,P60015419,Colorado,CO,08/11/2016,Kyle Kenley,Kopitke,"Kopitke, Kyle Kenley",,IAP,"1,096",,0.04%,
72,P60018249,Colorado,CO,08/11/2016,Joseph Allen,Maldonado,"Maldonado, Joseph Allen",,IPC,872,,0.03%,
73,P60022787,Colorado,CO,08/11/2016,Michael A.,Maturen,"Maturen, Michael A.",,ASP,862,,0.03%,
74,P60017035,Colorado,CO,08/11/2016,Rod,Silva,"Silva, Rod",,NTP,751,,0.03%,
75,n/a,Colorado,CO,08/11/2016,Ryan Alan,Scott,"Scott, Ryan Alan",,UN,749,,0.03%,
76,P20005260,Colorado,CO,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,AMP,710,,0.03%,
77,P80005572,Colorado,CO,08/11/2016,Gloria Estela,La Riva,"La Riva, Gloria Estela",,SLP,531,,0.02%,
78,P80005473,Colorado,CO,08/11/2016,Alyson,Kennedy,"Kennedy, Alyson",,SWP,452,,0.02%,
79,P20004511,Colorado,CO,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,KFP,392,,0.01%,
80,P60023504,Colorado,CO,08/11/2016,Bradford,Lyttle,"Lyttle, Bradford",,NRP,382,,0.01%,
81,P60023496,Colorado,CO,08/11/2016,Frank,Atwood,"Atwood, Frank",,APV,337,,0.01%,
82,P60018017,Colorado,CO,08/11/2016,Emidio,Soltysik,"Soltysik, Emidio",,SOC,271,,0.01%,
83,P60017340,Colorado,CO,08/11/2016,James,Hedges,"Hedges, James",,P,185,,0.01%,
84,n/a,Colorado,CO,08/11/2016,David,Perry,"Perry, David",,W,11,,0.00%,
85,n/a,Colorado,CO,08/11/2016,Corey,Sterner,"Sterner, Corey",,W,6,,0.00%,
86,P60020617,Colorado,CO,08/11/2016,Brian Anthony,Perry,"Perry, Brian Anthony",,W,4,,0.00%,
87,n/a,Colorado,CO,08/11/2016,Bruce,Lohmiller,"Lohmiller, Bruce",,W,3,,0.00%,
88,P60005303,Colorado,CO,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,2,,0.00%,
89,n/a,Colorado,CO,08/11/2016,Thomas J.,Nieman,"Nieman, Thomas J.",,W,1,,0.00%,
90,n/a,Colorado,CO,08/11/2016,,,,Total State Votes:,,,"2,780,247",,
91,n/a,Colorado,CO,08/11/2016,,,,,,,,,
92,P00003392,Connecticut,CT,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"897,572",,54.57%,W
93,P80001571,Connecticut,CT,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"673,215",,40.93%,
94,P20002671,Connecticut,CT,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"48,676",,2.96%,
95,P20003984,Connecticut,CT,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"22,841",,1.39%,
96,P60022654,Connecticut,CT,08/11/2016,Evan ,McMullin,"McMullin, Evan ",,W,"2,108",,0.13%,
97,P60021102,Connecticut,CT,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,W,147,,0.01%,
98,n/a,Connecticut,CT,08/11/2016,Jeffrey A.,Cooper,"Cooper, Jeffrey A.",,W,57,,0.00%,
99,n/a,Connecticut,CT,08/11/2016,Ronald,Evans,"Evans, Ronald",,W,44,,0.00%,
100,P60015351,Connecticut,CT,08/11/2016,Andrew D. ,Basiago,"Basiago, Andrew D. ",,W,42,,0.00%,
101,P80005572,Connecticut,CT,08/11/2016,Gloria,La Riva,"La Riva, Gloria",,W,41,,0.00%,
102,P20005260,Connecticut,CT,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,W,31,,0.00%,
103,P20004511,Connecticut,CT,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,23,,0.00%,
104,P60020757,Connecticut,CT,08/11/2016,Robert L.,Buchanan,"Buchanan, Robert L.",,W,19,,0.00%,
105,n/a,Connecticut,CT,08/11/2016,Jeffrey Anthony,Wu,"Wu, Jeffrey Anthony",,W,18,,0.00%,
106,n/a,Connecticut,CT,08/11/2016,Marshall,Schoenke,"Schoenke, Marshall",,W,15,,0.00%,
107,P60006673,Connecticut,CT,08/11/2016,Kevin,Deame,"Deame, Kevin",,W,13,,0.00%,
108,n/a,Connecticut,CT,08/11/2016,Paul E.,Blumenthal,"Blumenthal, Paul E.",,W,12,,0.00%,
109,P60016342,Connecticut,CT,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,W,12,,0.00%,
110,P60016623,Connecticut,CT,08/11/2016,Mike,Smith,"Smith, Mike",,W,12,,0.00%,
111,n/a,Connecticut,CT,08/11/2016,"Jeffrey John, Jr.",Klojzy,"Klojzy, Jeffrey John, Jr.",,W,6,,0.00%,
112,n/a,Connecticut,CT,08/11/2016,Darryl,Cummings,"Cummings, Darryl",,W,5,,0.00%,
113,P60018249,Connecticut,CT,08/11/2016,Joseph,Maldonado,"Maldonado, Joseph",,W,4,,0.00%,
114,P60012960,Connecticut,CT,08/11/2016,Peter,Skewes,"Skewes, Peter",,W,4,,0.00%,
115,P60005303,Connecticut,CT,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,3,,0.00%,
116,n/a,Connecticut,CT,08/11/2016,,,,Total State Votes:,,,"1,644,920",,
117,n/a,Connecticut,CT,08/11/2016,,,,,,,,,
118,P00003392,Delaware,DE,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"235,603",,53.09%,W
119,P80001571,Delaware,DE,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"185,127",,41.71%,
120,P20002671,Delaware,DE,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"14,757",,3.33%,
121,P20003984,Delaware,DE,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"6,103",,1.38%,
122,n/a,Delaware,DE,08/11/2016,,Other,Other,,W,"1,407",,0.32%,
123,P60022654,Delaware,DE,08/11/2016,Evan,McMullin,"McMullin, Evan",,W,706,,0.16%,
124,P60021102,Delaware,DE,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,W,74,,0.02%,
125,P20005260,Delaware,DE,08/11/2016,Thomas Conrad,Hoefling,"Hoefling, Thomas Conrad",,W,7,,0.00%,
126,P60020757,Delaware,DE,08/11/2016,Robert L.,Buchanan,"Buchanan, Robert L.",,W,4,,0.00%,
127,P60016342,Delaware,DE,08/11/2016,"""Rocky"" Roque",De La Fuente,"De La Fuente, ""Rocky"" Roque",,W,3,,0.00%,
128,n/a,Delaware,DE,08/11/2016,Benjamin,Hartnell,"Hartnell, Benjamin",,W,3,,0.00%,
129,P80005572,Delaware,DE,08/11/2016,Gloria,LaRiva,"LaRiva, Gloria",,W,3,,0.00%,
130,n/a,Delaware,DE,08/11/2016,David,Limbaugh,"Limbaugh, David",,W,3,,0.00%,
131,P60016623,Delaware,DE,08/11/2016,Mike,Smith,"Smith, Mike",,W,3,,0.00%,
132,n/a,Delaware,DE,08/11/2016,Ryan Alan,Scott,"Scott, Ryan Alan",,W,2,,0.00%,
133,P20004677,Delaware,DE,08/11/2016,Jerry,White,"White, Jerry",,W,2,,0.00%,
134,n/a,Delaware,DE,08/11/2016,Richard,Duncan,"Duncan, Richard",,W,1,,0.00%,
135,P60005808,Delaware,DE,08/11/2016,Lynn,Kahn,"Kahn, Lynn",,W,1,,0.00%,
136,P80004989,Delaware,DE,08/11/2016,Star,Locke,"Locke, Star",,W,1,,0.00%,
137,P60018249,Delaware,DE,08/11/2016,Joseph A.,Maldonado,"Maldonado, Joseph A.",,W,1,,0.00%,
138,P60004868,Delaware,DE,08/11/2016,Darryl W.,Perry,"Perry, Darryl W.",,W,1,,0.00%,
139,P60020963,Delaware,DE,08/11/2016,Ajay,Sood,"Sood, Ajay",,W,1,,0.00%,
140,n/a,Delaware,DE,08/11/2016,Matthew Water,Stout,"Stout, Matthew Water",,W,1,,0.00%,
141,n/a,Delaware,DE,08/11/2016,,,,Total State Votes:,,,"443,814",,
142,n/a,Delaware,DE,08/11/2016,,,,,,,,,
143,P00003392,District of Columbia,DC,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"282,830",,90.86%,W
144,P80001571,District of Columbia,DC,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"12,723",,4.09%,
145,n/a,District of Columbia,DC,08/11/2016,,Scattered,Scattered,,W,"6,551",,2.10%,
