State,num_cases,area,Date
AK,0,West,2020-01-21
AZ,0,West,2020-01-21
CA,0,West,2020-01-21
CO,0,West,2020-01-21
HI,0,West,2020-01-21
ID,0,West,2020-01-21
MT,0,West,2020-01-21
NM,0,West,2020-01-21
NV,0,West,2020-01-21
OR,0,West,2020-01-21
UT,0,West,2020-01-21
WA,1,West,2020-01-21
WY,0,West,2020-01-21
IA,0,Midwest,2020-01-21
IL,0,Midwest,2020-01-21
IN,0,Midwest,2020-01-21
KS,0,Midwest,2020-01-21
MI,0,Midwest,2020-01-21
MN,0,Midwest,2020-01-21
MO,0,Midwest,2020-01-21
ND,0,Midwest,2020-01-21
NE,0,Midwest,2020-01-21
OH,0,Midwest,2020-01-21
OK,0,Midwest,2020-01-21
SD,0,Midwest,2020-01-21
WI,0,Midwest,2020-01-21
AL,0,South,2020-01-21
AR,0,South,2020-01-21
FL,0,South,2020-01-21
GA,0,South,2020-01-21
KY,0,South,2020-01-21
LA,0,South,2020-01-21
MS,0,South,2020-01-21
NC,0,South,2020-01-21
SC,0,South,2020-01-21
TN,0,South,2020-01-21
TX,0,South,2020-01-21
VA,0,South,2020-01-21
WV,0,South,2020-01-21
CT,0,Northeast,2020-01-21
DC,0,Northeast,2020-01-21
DE,0,Northeast,2020-01-21
MA,0,Northeast,2020-01-21
MD,0,Northeast,2020-01-21
ME,0,Northeast,2020-01-21
NH,0,Northeast,2020-01-21
NJ,0,Northeast,2020-01-21
NY,0,Northeast,2020-01-21
PA,0,Northeast,2020-01-21
RI,0,Northeast,2020-01-21
VT,0,Northeast,2020-01-21
GU,0,Territories,2020-01-21
MP,0,Territories,2020-01-21
PR,0,Territories,2020-01-21
VI,0,Territories,2020-01-21
AK,0,West,2020-01-24
AZ,0,West,2020-01-24
CA,0,West,2020-01-24
CO,0,West,2020-01-24
HI,0,West,2020-01-24
ID,0,West,2020-01-24
MT,0,West,2020-01-24
NM,0,West,2020-01-24
NV,0,West,2020-01-24
OR,0,West,2020-01-24
UT,0,West,2020-01-24
WA,0,West,2020-01-24
WY,0,West,2020-01-24
IA,0,Midwest,2020-01-24
IL,1,Midwest,2020-01-24
IN,0,Midwest,2020-01-24
KS,0,Midwest,2020-01-24
MI,0,Midwest,2020-01-24
MN,0,Midwest,2020-01-24
MO,0,Midwest,2020-01-24
ND,0,Midwest,2020-01-24
NE,0,Midwest,2020-01-24
OH,0,Midwest,2020-01-24
OK,0,Midwest,2020-01-24
SD,0,Midwest,2020-01-24
WI,0,Midwest,2020-01-24
AL,0,South,2020-01-24
AR,0,South,2020-01-24
FL,0,South,2020-01-24
GA,0,South,2020-01-24
KY,0,South,2020-01-24
LA,0,South,2020-01-24
MS,0,South,2020-01-24
NC,0,South,2020-01-24
SC,0,South,2020-01-24
TN,0,South,2020-01-24
TX,0,South,2020-01-24
VA,0,South,2020-01-24
WV,0,South,2020-01-24
CT,0,Northeast,2020-01-24
DC,0,Northeast,2020-01-24
DE,0,Northeast,2020-01-24
MA,0,Northeast,2020-01-24
MD,0,Northeast,2020-01-24
ME,0,Northeast,2020-01-24
NH,0,Northeast,2020-01-24
NJ,0,Northeast,2020-01-24
NY,0,Northeast,2020-01-24
PA,0,Northeast,2020-01-24
RI,0,Northeast,2020-01-24
VT,0,Northeast,2020-01-24
GU,0,Territories,2020-01-24
MP,0,Territories,2020-01-24
PR,0,Territories,2020-01-24
VI,0,Territories,2020-01-24
AK,0,West,2020-01-25
AZ,0,West,2020-01-25
CA,1,West,2020-01-25
CO,0,West,2020-01-25
HI,0,West,2020-01-25
ID,0,West,2020-01-25
MT,0,West,2020-01-25
NM,0,West,2020-01-25
NV,0,West,2020-01-25
OR,0,West,2020-01-25
UT,0,West,2020-01-25
WA,0,West,2020-01-25
WY,0,West,2020-01-25
IA,0,Midwest,2020-01-25
IL,0,Midwest,2020-01-25
IN,0,Midwest,2020-01-25
KS,0,Midwest,2020-01-25
MI,0,Midwest,2020-01-25
MN,0,Midwest,2020-01-25
MO,0,Midwest,2020-01-25
ND,0,Midwest,2020-01-25
NE,0,Midwest,2020-01-25
OH,0,Midwest,2020-01-25
OK,0,Midwest,2020-01-25
SD,0,Midwest,2020-01-25
WI,0,Midwest,2020-01-25
AL,0,South,2020-01-25
AR,0,South,2020-01-25
FL,0,South,2020-01-25
GA,0,South,2020-01-25
KY,0,South,2020-01-25
LA,0,South,2020-01-25
MS,0,South,2020-01-25
NC,0,South,2020-01-25
SC,0,South,2020-01-25
TN,0,South,2020-01-25
TX,0,South,2020-01-25
VA,0,South,2020-01-25
WV,0,South,2020-01-25
CT,0,Northeast,2020-01-25
DC,0,Northeast,2020-01-25
DE,0,Northeast,2020-01-25
MA,0,Northeast,2020-01-25
MD,0,Northeast,2020-01-25
ME,0,Northeast,2020-01-25
NH,0,Northeast,2020-01-25
NJ,0,Northeast,2020-01-25
NY,0,Northeast,2020-01-25
PA,0,Northeast,2020-01-25
RI,0,Northeast,2020-01-25
VT,0,Northeast,2020-01-25
GU,0,Territories,2020-01-25
MP,0,Territories,2020-01-25
PR,0,Territories,2020-01-25
VI,0,Territories,2020-01-25
AK,0,West,2020-01-26
AZ,1,West,2020-01-26
CA,1,West,2020-01-26
CO,0,West,2020-01-26
HI,0,West,2020-01-26
ID,0,West,2020-01-26
MT,0,West,2020-01-26
NM,0,West,2020-01-26
NV,0,West,2020-01-26
OR,0,West,2020-01-26
UT,0,West,2020-01-26
WA,0,West,2020-01-26
WY,0,West,2020-01-26
IA,0,Midwest,2020-01-26
IL,0,Midwest,2020-01-26
IN,0,Midwest,2020-01-26
KS,0,Midwest,2020-01-26
MI,0,Midwest,2020-01-26
MN,0,Midwest,2020-01-26
MO,0,Midwest,2020-01-26
ND,0,Midwest,2020-01-26
NE,0,Midwest,2020-01-26
OH,0,Midwest,2020-01-26
OK,0,Midwest,2020-01-26
SD,0,Midwest,2020-01-26
WI,0,Midwest,2020-01-26
AL,0,South,2020-01-26
AR,0,South,2020-01-26
FL,0,South,2020-01-26
GA,0,South,2020-01-26
KY,0,South,2020-01-26
LA,0,South,2020-01-26
MS,0,South,2020-01-26
NC,0,South,2020-01-26
SC,0,South,2020-01-26
TN,0,South,2020-01-26
TX,0,South,2020-01-26
VA,0,South,2020-01-26
WV,0,South,2020-01-26
CT,0,Northeast,2020-01-26
DC,0,Northeast,2020-01-26
DE,0,Northeast,2020-01-26
MA,0,Northeast,2020-01-26
MD,0,Northeast,2020-01-26
ME,0,Northeast,2020-01-26
NH,0,Northeast,2020-01-26
NJ,0,Northeast,2020-01-26
NY,0,Northeast,2020-01-26
PA,0,Northeast,2020-01-26
RI,0,Northeast,2020-01-26
VT,0,Northeast,2020-01-26
GU,0,Territories,2020-01-26
MP,0,Territories,2020-01-26
PR,0,Territories,2020-01-26
VI,0,Territories,2020-01-26
AK,0,West,2020-01-30
AZ,0,West,2020-01-30
CA,0,West,2020-01-30
CO,0,West,2020-01-30
HI,0,West,2020-01-30
ID,0,West,2020-01-30
MT,0,West,2020-01-30
NM,0,West,2020-01-30
NV,0,West,2020-01-30
OR,0,West,2020-01-30
UT,0,West,2020-01-30
WA,0,West,2020-01-30
WY,0,West,2020-01-30
IA,0,Midwest,2020-01-30
IL,1,Midwest,2020-01-30
IN,0,Midwest,2020-01-30
KS,0,Midwest,2020-01-30
MI,0,Midwest,2020-01-30
MN,0,Midwest,2020-01-30
MO,0,Midwest,2020-01-30
ND,0,Midwest,2020-01-30
NE,0,Midwest,2020-01-30
OH,0,Midwest,2020-01-30
OK,0,Midwest,2020-01-30
SD,0,Midwest,2020-01-30
WI,0,Midwest,2020-01-30
AL,0,South,2020-01-30
AR,0,South,2020-01-30
FL,0,South,2020-01-30
GA,0,South,2020-01-30
KY,0,South,2020-01-30
LA,0,South,2020-01-30
MS,0,South,2020-01-30
NC,0,South,2020-01-30
SC,0,South,2020-01-30
TN,0,South,2020-01-30
TX,0,South,2020-01-30
VA,0,South,2020-01-30
WV,0,South,2020-01-30
CT,0,Northeast,2020-01-30
DC,0,Northeast,2020-01-30
DE,0,Northeast,2020-01-30
MA,0,Northeast,2020-01-30
MD,0,Northeast,2020-01-30
ME,0,Northeast,2020-01-30
NH,0,Northeast,2020-01-30
NJ,0,Northeast,2020-01-30
