State,num_deaths,area,Date,full_name
AK,0,West,2020-02-29,Alaska
AZ,0,West,2020-02-29,Arizona
CA,0,West,2020-02-29,California
CO,0,West,2020-02-29,Colorado
HI,0,West,2020-02-29,Hawaii
ID,0,West,2020-02-29,Idaho
MT,0,West,2020-02-29,Montana
NM,0,West,2020-02-29,New Mexico
NV,0,West,2020-02-29,Nevada
OR,0,West,2020-02-29,Oregon
UT,0,West,2020-02-29,Utah
WA,1,West,2020-02-29,Washington
WY,0,West,2020-02-29,Wyoming
IA,0,Midwest,2020-02-29,Iowa
IL,0,Midwest,2020-02-29,Illinois
IN,0,Midwest,2020-02-29,Indiana
KS,0,Midwest,2020-02-29,Kansas
MI,0,Midwest,2020-02-29,Michigan
MN,0,Midwest,2020-02-29,Minnesota
MO,0,Midwest,2020-02-29,Missouri
ND,0,Midwest,2020-02-29,North Dakota
NE,0,Midwest,2020-02-29,Nebraska
OH,0,Midwest,2020-02-29,Ohio
OK,0,Midwest,2020-02-29,Oklahoma
SD,0,Midwest,2020-02-29,South Dakota
WI,0,Midwest,2020-02-29,Wisconsin
AL,0,South,2020-02-29,Alabama
AR,0,South,2020-02-29,Arkansas
FL,0,South,2020-02-29,Florida
GA,0,South,2020-02-29,Georgia
KY,0,South,2020-02-29,Kentucky
LA,0,South,2020-02-29,Louisiana
MS,0,South,2020-02-29,Mississippi
NC,0,South,2020-02-29,North Carolina
SC,0,South,2020-02-29,South Carolina
TN,0,South,2020-02-29,Tennessee
TX,0,South,2020-02-29,Texas
VA,0,South,2020-02-29,Virginia
WV,0,South,2020-02-29,West Virginia
CT,0,Northeast,2020-02-29,Connecticut
DC,0,Northeast,2020-02-29,NA
DE,0,Northeast,2020-02-29,Delaware
MA,0,Northeast,2020-02-29,Massachusetts
MD,0,Northeast,2020-02-29,Maryland
ME,0,Northeast,2020-02-29,Maine
NH,0,Northeast,2020-02-29,New Hampshire
NJ,0,Northeast,2020-02-29,New Jersey
NY,0,Northeast,2020-02-29,New York
PA,0,Northeast,2020-02-29,Pennsylvania
RI,0,Northeast,2020-02-29,Rhode Island
VT,0,Northeast,2020-02-29,Vermont
GU,0,Territories,2020-02-29,NA
MP,0,Territories,2020-02-29,NA
PR,0,Territories,2020-02-29,NA
VI,0,Territories,2020-02-29,NA
AK,0,West,2020-03-01,Alaska
AZ,0,West,2020-03-01,Arizona
CA,0,West,2020-03-01,California
